seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m4,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m4,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m4,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m4,regime_marginal,clean,transit_rough,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m4,regime_marginal,clean,transit_rough,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m4,regime_marginal,observed,all,all,-0.20254939141991224,-0.13888888888888884,-0.23573975044563278,-0.19914901526319106,0.013250319284802043,0.020833333333333332,-0.08333333333333326,0.0,-0.13888888888888884,-0.1435185185185185,0.0,0.28888888888888886,-4.62962962962963,0.2
42,steady_m4,regime_marginal,observed,all,stable,-0.20254939141991224,-0.13888888888888884,-0.23573975044563278,-0.19914901526319106,0.013250319284802043,0.020833333333333332,-0.08333333333333326,0.0,-0.13888888888888884,-0.1435185185185185,0.0,0.28888888888888886,-4.62962962962963,0.2
42,steady_m4,regime_marginal,observed,warehouse,all,-0.2710385670951899,-0.09722222222222221,-0.3289856211204526,-0.16185814113801966,0.02921455938697318,0.034722222222222224,-0.09722222222222232,0.0,-0.09722222222222221,-0.09722222222222221,0.0,0.36458333333333337,-3.352490421455939,0.2
42,steady_m4,regime_marginal,observed,warehouse,stable,-0.2710385670951899,-0.09722222222222221,-0.3289856211204526,-0.16185814113801966,0.02921455938697318,0.034722222222222224,-0.09722222222222232,0.0,-0.09722222222222221,-0.09722222222222221,0.0,0.36458333333333337,-3.352490421455939,0.2
42,steady_m4,regime_marginal,observed,transit_smooth,all,-0.11026279158054586,-0.1527777777777778,-0.07669396872673118,-0.1591800613627743,0.00239463601532567,0.020833333333333332,-0.08333333333333337,0.0,-0.1527777777777778,-0.16666666666666663,0.0,0.20238095238095238,-5.747126436781609,0.2
42,steady_m4,regime_marginal,observed,transit_smooth,stable,-0.11026279158054586,-0.1527777777777778,-0.07669396872673118,-0.1591800613627743,0.00239463601532567,0.020833333333333332,-0.08333333333333337,0.0,-0.1527777777777778,-0.16666666666666663,0.0,0.20238095238095238,-5.747126436781609,0.2
42,steady_m4,regime_marginal,observed,transit_rough,all,-0.1804417969719534,-0.16666666666666674,-0.1890611541774333,-0.22510048596338983,0.008141762452107279,0.006944444444444444,-0.06944444444444442,0.0,-0.16666666666666674,-0.16666666666666674,0.0,0.28888888888888886,-4.7892720306513406,0.2
42,steady_m4,regime_marginal,observed,transit_rough,stable,-0.1804417969719534,-0.16666666666666674,-0.1890611541774333,-0.22510048596338983,0.008141762452107279,0.006944444444444444,-0.06944444444444442,0.0,-0.16666666666666674,-0.16666666666666674,0.0,0.28888888888888886,-4.7892720306513406,0.2
42,steady_m4,regime_conditional,clean,all,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m4,regime_conditional,clean,all,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m4,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
42,steady_m4,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
42,steady_m4,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m4,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m4,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m4,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m4,regime_conditional,observed,all,all,-0.2501720079666847,-0.05555555555555558,-0.267238930151386,-0.15807435344344367,0.038473818646232436,0.21064814814814814,-0.08333333333333337,0.0,-0.05555555555555558,-0.3055555555555555,0.0,0.47777777777777775,-7.662835249042146,0.2
42,steady_m4,regime_conditional,observed,all,stable,-0.2501720079666847,-0.05555555555555558,-0.267238930151386,-0.15807435344344367,0.038473818646232436,0.21064814814814814,-0.08333333333333337,0.0,-0.05555555555555558,-0.3055555555555555,0.0,0.47777777777777775,-7.662835249042146,0.2
42,steady_m4,regime_conditional,observed,warehouse,all,-0.2393162393162393,-0.06944444444444453,-0.2439024390243903,-0.12460449982456356,0.03831417624521073,0.21527777777777776,-0.09722222222222221,0.0,-0.06944444444444453,-0.3055555555555555,0.0,0.5,-11.015325670498086,0.2
42,steady_m4,regime_conditional,observed,warehouse,stable,-0.2393162393162393,-0.06944444444444453,-0.2439024390243903,-0.12460449982456356,0.03831417624521073,0.21527777777777776,-0.09722222222222221,0.0,-0.06944444444444453,-0.3055555555555555,0.0,0.5,-11.015325670498086,0.2
42,steady_m4,regime_conditional,observed,transit_smooth,all,-0.1913943355119826,-0.02777777777777779,-0.23880385487528344,-0.08800024657673244,0.022988505747126436,0.14583333333333331,-0.08333333333333337,0.0,-0.02777777777777779,-0.25,0.0,0.36904761904761907,-4.310344827586206,0.2
42,steady_m4,regime_conditional,observed,transit_smooth,stable,-0.1913943355119826,-0.02777777777777779,-0.23880385487528344,-0.08800024657673244,0.022988505747126436,0.14583333333333331,-0.08333333333333337,0.0,-0.02777777777777779,-0.25,0.0,0.36904761904761907,-4.310344827586206,0.2
